team,wins,losses,no_result,total_played,win_pct,pts,qualification
Punjab Kings,6,1,1,8,75.0,13,Qualifier 1
Royal Challengers Bengaluru,6,2,0,8,75.0,12,Eliminated
Rajasthan Royals,6,3,0,9,66.67,12,Eliminator
Sunrisers Hyderabad,5,3,0,8,62.5,10,Eliminated
Gujarat Titans,4,4,0,8,50.0,8,Eliminated
Chennai Super Kings,3,5,0,8,37.5,6,Eliminated
Delhi Capitals,3,5,0,8,37.5,6,Eliminated
Kolkata Knight Riders,2,5,1,8,25.0,5,Eliminated
Mumbai Indians,2,5,0,7,28.57,4,Eliminated
Lucknow Super Giants,2,6,0,8,25.0,4,Eliminated
