Pos,Grp,Team,Pld,W,L,NR,Pts,NRR,Qualification
1,A,Punjab Kings,8,6,1,1,13,1.043,Advance to thequalifier 1
2,A,Royal Challengers Bengaluru,8,6,2,0,12,1.919,
3,A,Rajasthan Royals,9,6,3,0,12,0.617,Advance to theeliminator
4,B,Sunrisers Hyderabad,8,5,3,0,10,0.815,
5,B,Gujarat Titans,8,4,4,0,8,−0.475,
6,A,Chennai Super Kings,8,3,5,0,6,−0.121,
7,B,Delhi Capitals,8,3,5,0,6,−1.060,
8,A,Kolkata Knight Riders,8,2,5,1,5,−0.751,
9,B,Mumbai Indians,7,2,5,0,4,−0.736,
10,B,Lucknow Super Giants,8,2,6,0,4,−1.106,
